Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-12,28.65,29.6,27.78,28.82,3894400,0.0,0.0
2001-06-13,28.73,28.99,28.65,28.73,758000,0.0,0.0
2001-06-14,28.65,28.65,27.78,28.13,501000,0.0,0.0
2001-06-15,28.04,28.56,27.78,28.56,382800,0.0,0.0
2001-06-18,29.51,30.21,28.73,29.58,358300,0.0,0.0
2001-06-19,29.51,30.12,29.08,30.12,232800,0.0,0.0
2001-06-20,30.21,32.12,30.21,30.9,176100,0.0,0.0
2001-06-21,30.9,31.25,30.82,30.9,79100,0.0,0.0
2001-06-22,30.87,30.87,30.12,30.35,109800,0.0,0.0
2001-06-25,29.95,31.25,28.65,30.64,142500,0.0,0.0
2001-06-26,30.52,30.52,29.48,29.51,109300,0.0,0.0
2001-06-27,29.51,30.3,29.08,30.04,96100,0.0,0.0
2001-06-28,30.38,30.99,30.21,30.38,102500,0.0,0.0
2001-06-29,30.38,31.16,29.95,30.82,222800,0.0,0.0
2001-07-02,30.82,30.9,29.95,30.38,46300,0.0,0.0
2001-07-03,30.64,30.64,29.95,30.21,54300,0.0,0.0
2001-07-05,30.38,30.97,30.21,30.85,74800,0.0,0.0
2001-07-06,30.83,30.99,30.64,30.78,60500,0.0,0.0
2001-07-09,30.56,30.56,29.51,29.69,117300,0.0,0.0
2001-07-10,29.77,29.88,29.08,29.34,148900,0.0,0.0
2001-07-11,29.6,30.82,29.27,29.95,151900,0.0,0.0
2001-07-12,29.95,30.38,29.25,29.29,198900,0.0,0.0
2001-07-13,29.27,29.95,29.27,29.95,112200,0.0,0.0
2001-07-16,30.04,30.17,29.95,30.12,48800,0.0,0.0
2001-07-17,30.12,30.38,29.34,30.12,64900,0.0,0.0
2001-07-18,30.04,30.04,29.51,29.77,80500,0.0,0.0
2001-07-19,29.51,29.69,29.17,29.51,128200,0.0,0.0
2001-07-20,29.43,29.51,29.29,29.43,38700,0.0,0.0
2001-07-23,29.43,29.43,29.25,29.43,59900,0.0,0.0
2001-07-24,29.43,29.43,28.3,28.47,221400,0.0,0.0
2001-07-25,28.3,28.3,26.91,28.21,371700,0.0,0.0
2001-07-26,28.21,28.82,28.21,28.58,96100,0.0,0.0
2001-07-27,28.65,29.86,28.65,29.86,118800,0.0,0.0
2001-07-30,29.6,30.36,29.51,29.51,91200,0.0,0.0
2001-07-31,30.38,30.82,29.34,29.95,267200,0.0,0.0
2001-08-01,30.12,30.38,29.98,29.98,139500,0.0,0.0
2001-08-02,29.98,30.04,28.91,29.08,153100,0.0,0.0
2001-08-03,29.08,30.82,29.08,30.64,177000,0.0,0.0
2001-08-06,30.82,31.25,30.66,31.25,46500,0.0,0.0
2001-08-07,31.08,31.34,30.38,30.38,130000,0.0,0.0
2001-08-08,30.56,30.56,29.86,30.47,67300,0.0,0.0
2001-08-09,30.38,30.47,29.95,30.23,58600,0.0,0.0
