Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-06-22,0.0,2.92,2.84,2.84,18200,0.0,0
1988-06-23,0.0,2.76,2.61,2.61,51100,0.0,0
1988-06-24,0.0,2.69,2.69,2.69,11800,0.0,0
1988-06-27,0.0,2.69,2.61,2.61,13200,0.0,0
1988-06-28,0.0,2.61,2.46,2.46,16200,0.0,0
1988-06-29,0.0,2.61,2.53,2.53,8900,0.0,0
1988-06-30,0.0,2.76,2.69,2.69,47300,0.0,0
1988-07-01,0.0,2.99,2.92,2.92,29100,0.0,0
1988-07-05,0.0,2.99,2.84,2.84,14000,0.0,0
1988-07-06,0.0,2.84,2.76,2.76,20000,0.0,0
1988-07-07,0.0,2.84,2.76,2.76,6900,0.0,0
1988-07-08,0.0,2.76,2.69,2.69,9300,0.0,0
1988-07-11,0.0,2.76,2.69,2.69,31400,0.0,0
1988-07-12,0.0,2.84,2.69,2.69,3600,0.0,0
1988-07-13,0.0,2.84,2.76,2.76,2800,0.0,0
1988-07-14,0.0,2.84,2.69,2.69,26400,0.0,0
1988-07-15,0.0,2.84,2.69,2.69,13000,0.0,0
1988-07-18,0.0,2.76,2.61,2.61,10500,0.0,0
1988-07-19,0.0,2.69,2.53,2.53,7500,0.0,0
1988-07-20,0.0,2.53,2.38,2.38,31400,0.0,0
1988-07-21,0.0,2.53,2.46,2.46,13200,0.0,0
1988-07-22,0.0,2.53,2.38,2.38,21100,0.0,0
1988-07-25,0.0,2.53,2.38,2.38,2000,0.0,0
1988-07-26,0.0,2.46,2.38,2.38,26900,0.0,0
1988-07-27,0.0,2.46,2.38,2.38,1900,0.0,0
1988-07-28,0.0,2.46,2.38,2.38,10300,0.0,0
1988-07-29,0.0,2.46,2.38,2.38,14200,0.0,0
1988-08-01,0.0,2.53,2.46,2.46,19700,0.0,0
1988-08-02,0.0,2.53,2.38,2.38,17500,0.0,0
1988-08-03,0.0,2.46,2.3,2.3,33600,0.0,0
1988-08-04,0.0,2.38,2.23,2.23,1300,0.0,0
1988-08-05,0.0,2.38,2.3,2.3,2900,0.0,0
1988-08-08,0.0,2.38,2.3,2.3,9400,0.0,0
