Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-24,47.95,47.95,47.9,47.9,3600,0.0,0.0
2015-06-25,47.54,47.54,46.78,46.78,4100,0.0,0.0
2015-06-26,46.78,46.78,46.78,46.78,100,0.0,0.0
2015-06-29,46.04,46.04,45.95,45.95,300,0.0,0.0
2015-06-30,46.35,46.4,45.59,46.02,2015000,0.0,0.0
2015-07-01,45.9,47.16,45.82,47.16,213500,0.0,0.0
2015-07-02,47.61,49.12,47.16,49.12,1936700,0.0,0.0
2015-07-06,49.21,50.18,47.6,48.18,2322200,0.0,0.0
2015-07-07,48.3,48.36,46.51,47.21,3388600,0.0,0.0
2015-07-08,47.23,48.29,44.97,45.13,4200100,0.0,0.0
2015-07-09,44.97,46.05,44.22,44.97,2535200,0.0,0.0
2015-07-10,45.32,46.55,44.89,46.4,2482800,0.0,0.0
2015-07-13,46.89,47.04,46.56,46.95,1386200,0.0,0.0
2015-07-14,46.93,47.65,46.43,47.0,1104100,0.0,0.0
2015-07-15,47.04,47.56,46.2,46.57,1342800,0.0,0.0
2015-07-16,46.63,48.13,46.51,47.1,1516000,0.0,0.0
2015-07-17,47.32,47.8,46.58,46.67,1346500,0.0,0.0
2015-07-20,46.86,47.56,46.48,46.52,2194200,0.0,0.0
2015-07-21,46.73,47.51,45.06,45.23,1998900,0.0,0.0
2015-07-22,45.61,46.21,45.02,45.45,999000,0.0,0.0
2015-07-23,45.17,45.93,44.85,45.23,1248300,0.0,0.0
2015-07-24,45.0,45.31,43.58,44.52,1281400,0.0,0.0
2015-07-27,44.17,44.91,43.73,43.98,1393100,0.0,0.0
2015-07-28,44.23,45.16,43.45,44.85,1816500,0.0,0.0
2015-07-29,44.5,45.14,43.89,44.88,1986900,0.0,0.0
2015-07-30,46.37,47.76,46.13,47.48,3918000,0.0,0.0
2015-07-31,46.48,48.18,46.22,47.66,1803400,0.0,0.0
2015-08-03,47.89,48.93,47.15,47.74,2361800,0.0,0.0
2015-08-04,47.04,47.95,47.04,47.29,780200,0.0,0.0
2015-08-05,47.83,48.34,47.02,47.42,1664100,0.0,0.0
2015-08-06,46.86,47.23,45.71,46.66,2815500,0.0,0.0
2015-08-07,46.61,47.32,46.08,47.28,2287300,0.0,0.0
2015-08-10,47.92,48.31,47.09,47.92,1580600,0.375,0.0
2015-08-11,48.69,48.69,46.95,48.23,1916000,0.0,0.0
2015-08-12,48.23,48.59,46.95,48.17,1541700,0.0,0.0
2015-08-13,48.13,48.54,47.44,48.03,937000,0.0,0.0
2015-08-14,48.03,48.55,47.14,48.11,1041800,0.0,0.0
2015-08-17,47.65,48.24,47.65,48.19,792600,0.0,0.0
2015-08-18,47.95,48.37,47.86,48.05,894800,0.0,0.0
2015-08-19,47.92,48.15,47.22,47.22,1195200,0.0,0.0
2015-08-20,46.98,46.98,45.94,46.17,1439800,0.0,0.0
2015-08-21,45.82,45.85,44.61,44.89,2173600,0.0,0.0
2015-08-24,43.11,45.87,40.69,42.95,2381800,0.0,0.0
2015-08-25,44.35,44.41,41.85,42.22,2606800,0.0,0.0
2015-08-26,43.46,44.08,41.96,42.95,2064900,0.0,0.0
2015-08-27,44.31,45.08,43.93,45.05,2080600,0.0,0.0
2015-08-28,45.13,45.97,45.05,45.85,1674500,0.0,0.0
2015-08-31,45.72,45.82,44.61,45.15,1866000,0.0,0.0
