Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-10-02,14.2,14.85,14.18,14.61,7111800,0.0,0
2006-10-03,14.71,14.82,14.52,14.79,11416000,0.0,0
2006-10-04,14.79,14.83,14.42,14.63,10722800,0.0,0
2006-10-05,14.75,14.75,14.49,14.52,8782400,0.0,0
2006-10-06,14.57,14.63,14.29,14.47,6282100,0.0,0
2006-10-09,14.72,14.76,14.43,14.59,3518000,0.0,0
2006-10-10,14.48,14.66,14.42,14.58,6132200,0.0,0
2006-10-11,14.55,14.55,14.26,14.28,9504800,0.0,0
2006-10-12,14.36,14.36,14.01,14.07,8323700,0.0,0
2006-10-13,14.05,14.07,13.73,13.96,10659500,0.0,0
2006-10-16,14.1,14.21,13.84,13.86,9966300,0.0,0
2006-10-17,13.68,13.81,13.58,13.74,4902400,0.0,0
2006-10-18,13.72,14.14,13.72,14.05,6600200,0.0,0
2006-10-19,14.35,14.61,14.2,14.42,8959200,0.0,0
2006-10-20,14.49,14.79,14.38,14.52,5712600,0.0,0
2006-10-23,14.54,14.7,14.15,14.48,6780900,0.0,0
2006-10-24,14.79,15.53,14.72,14.75,14763500,0.0,0
2006-10-25,14.84,16.42,14.83,16.16,11829500,0.0,0
2006-10-26,16.06,17.04,16.01,16.52,13490500,0.0,0
2006-10-27,16.34,16.52,15.91,16.23,4564700,0.0,0
2006-10-30,16.26,16.42,15.86,16.35,5795000,0.0,0
2006-10-31,16.63,16.85,16.13,16.31,4165200,0.0,0
2006-11-01,16.38,16.7,16.23,16.25,8517800,0.0,0
2006-11-02,16.03,16.33,15.86,16.14,7359000,0.0,0
2006-11-03,16.33,16.48,15.78,15.93,4821000,0.0,0
2006-11-06,16.31,16.57,16.11,16.44,5462100,0.0,0
2006-11-07,16.37,16.97,16.37,16.64,5057500,0.0,0
2006-11-08,16.57,16.92,16.43,16.73,4660200,0.0,0
2006-11-09,16.71,17.42,16.64,17.22,8630700,0.0,0
2006-11-10,17.22,17.38,16.83,16.88,4421300,0.0,0
2006-11-13,17.16,17.33,16.92,17.19,5379500,0.0,0
2006-11-14,17.36,17.42,16.94,17.32,4358300,0.0,0
2006-11-15,17.48,17.6,17.24,17.27,4149900,0.0,0
2006-11-16,17.38,17.6,17.08,17.1,4629000,0.0,0
2006-11-17,16.99,17.16,16.75,16.77,4082900,0.0,0
2006-11-20,16.77,16.88,16.43,16.65,3844400,0.0,0
2006-11-21,16.74,16.89,16.67,16.68,4081200,0.0,0
2006-11-22,16.6,16.76,16.54,16.67,2753500,0.0,0
2006-11-24,16.65,16.68,16.54,16.54,886000,0.0,0
2006-11-27,16.4,16.54,16.06,16.16,4876600,0.0,0
2006-11-28,16.02,16.64,15.89,15.99,4878100,0.0,0
2006-11-29,16.64,17.63,15.91,16.39,5716900,0.0,0
2006-11-30,16.41,16.97,16.34,16.86,6002400,0.0,0
2006-12-01,16.57,16.9,16.57,16.9,4519400,0.0,0
2006-12-04,17.05,17.56,16.94,17.38,5347100,0.0,0
2006-12-05,17.38,17.85,17.29,17.84,7449100,0.0,0
2006-12-06,17.82,17.82,17.27,17.34,5195700,0.0,0
2006-12-07,17.34,17.79,17.26,17.68,5155300,0.0,0
2006-12-08,17.63,17.82,17.56,17.64,3518300,0.0,0
2006-12-11,17.49,17.56,17.19,17.43,3447100,0.0,0
2006-12-12,17.34,17.49,16.97,17.23,3342400,0.0,0
2006-12-13,17.24,17.25,16.65,16.9,4484900,0.01,0
2006-12-14,17.03,17.19,16.68,16.85,5321800,0.0,0
2006-12-15,16.72,17.08,16.72,17.01,5120800,0.0,0
2006-12-18,17.01,17.08,16.83,16.93,4316100,0.0,0
2006-12-19,16.94,17.04,16.68,16.68,2284100,0.0,0
2006-12-20,16.79,16.79,16.52,16.57,2778400,0.0,0
2006-12-21,16.51,16.65,16.38,16.44,3918900,0.0,0
2006-12-22,16.43,16.57,16.22,16.26,3743900,0.0,0
2006-12-26,16.42,16.46,16.28,16.37,1584800,0.0,0
2006-12-27,16.4,16.69,16.37,16.65,2409600,0.0,0
2006-12-28,16.58,16.65,16.42,16.54,1717900,0.0,0
2006-12-29,16.54,16.71,16.5,16.59,2157700,0.0,0
2007-01-03,16.94,17.27,16.59,16.8,5910100,0.0,0
2007-01-04,16.72,17.05,16.65,16.95,2834300,0.0,0
2007-01-05,16.94,16.99,16.5,16.52,5548800,0.0,0
2007-01-08,16.51,16.55,16.14,16.25,2829800,0.0,0
2007-01-09,16.24,16.53,16.17,16.46,3600900,0.0,0
2007-01-10,16.94,17.08,16.56,16.62,5745000,0.0,0
