Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,4.18,4.29,4.09,4.23,116700,0.0,0.0
1973-05-04,4.34,4.42,4.34,4.36,256800,0.0,0.0
1973-05-07,4.36,4.37,4.33,4.34,55800,0.0,0.0
1973-05-08,4.34,4.34,4.3,4.34,80100,0.0,0.0
1973-05-09,4.34,4.39,4.33,4.36,66900,0.0,0.0
1973-05-10,4.36,4.36,4.3,4.3,61800,0.0,0.0
1973-05-11,4.3,4.3,4.19,4.25,76500,0.0,0.0
1973-05-14,4.19,4.19,4.14,4.18,46200,0.0,0.0
1973-05-15,4.18,4.23,4.14,4.23,90300,0.0,0.0
1973-05-16,4.23,4.28,4.23,4.28,39900,0.0,0.0
1973-05-17,4.28,4.29,4.22,4.28,56100,0.0,0.0
1973-05-18,4.27,4.27,4.18,4.25,85200,0.0,0.0
1973-05-21,4.23,4.23,4.17,4.18,138300,0.0,0.0
1973-05-22,4.18,4.23,4.18,4.18,51300,0.0,0.0
1973-05-23,4.19,4.26,4.19,4.25,91500,0.0,0.0
1973-05-24,4.25,4.35,4.25,4.35,45300,0.0,0.0
1973-05-25,4.36,4.45,4.36,4.42,82800,0.0,0.0
1973-05-29,4.4,4.4,4.29,4.29,25500,0.0,0.0
1973-05-30,4.29,4.29,4.26,4.28,16800,0.0,0.0
1973-05-31,4.25,4.25,4.18,4.18,82800,0.0,0.0
1973-06-01,4.18,4.25,4.15,4.2,70800,0.0,0.0
1973-06-04,4.2,4.21,4.18,4.18,31800,0.0,0.0
1973-06-05,4.18,4.25,4.15,4.19,85500,0.0,0.0
1973-06-06,4.19,4.23,4.18,4.18,27000,0.0,0.0
1973-06-07,4.18,4.25,4.18,4.21,47100,0.0,0.0
1973-06-08,4.23,4.33,4.23,4.33,83400,0.0,0.0
1973-06-11,4.36,4.42,4.36,4.4,39600,0.0,0.0
1973-06-12,4.4,4.45,4.37,4.45,144600,0.0,0.0
1973-06-13,4.45,4.5,4.35,4.4,80400,0.0,0.0
1973-06-14,4.39,4.39,4.36,4.39,138900,0.0,0.0
1973-06-15,4.37,4.37,4.34,4.36,26400,0.0,0.0
1973-06-18,4.36,4.36,4.25,4.27,131400,0.0,0.0
1973-06-19,4.27,4.31,4.2,4.28,88800,0.0,0.0
1973-06-20,4.28,4.29,4.23,4.29,91200,0.0,0.0
1973-06-21,4.29,4.29,4.25,4.27,118200,0.0,0.0
1973-06-22,4.27,4.36,4.25,4.25,43500,0.0,0.0
1973-06-25,4.25,4.28,4.23,4.23,16800,0.0,0.0
1973-06-26,4.23,4.27,4.21,4.27,18900,0.0,0.0
1973-06-27,4.27,4.28,4.21,4.27,86400,0.0,0.0
1973-06-28,4.29,4.34,4.29,4.34,21900,0.0,0.0
1973-06-29,4.34,4.35,4.3,4.34,75300,0.0,0.0
1973-07-02,4.34,4.36,4.31,4.35,39300,0.0,0.0
1973-07-03,4.35,4.44,4.35,4.43,63000,0.0,0.0
1973-07-05,4.43,4.49,4.39,4.47,60900,0.0,0.0
1973-07-06,4.47,4.5,4.47,4.5,32400,0.0,0.0
1973-07-09,4.5,4.58,4.5,4.56,39600,0.0,0.0
1973-07-10,4.65,4.76,4.65,4.66,81600,0.0,0.0
1973-07-11,4.73,4.78,4.73,4.76,169200,0.0,0.0
1973-07-12,4.76,4.77,4.69,4.73,142800,0.0,0.0
1973-07-13,4.73,4.73,4.62,4.65,64500,0.0,0.0
1973-07-16,4.65,4.71,4.64,4.67,46500,0.0,0.0
1973-07-17,4.69,4.73,4.69,4.69,144000,0.0,0.0
1973-07-18,4.69,4.71,4.66,4.66,51000,0.0,0.0
1973-07-19,4.66,4.73,4.63,4.69,135000,0.0,0.0
1973-07-20,4.69,4.76,4.69,4.76,95100,0.0,0.0
1973-07-23,4.76,4.8,4.76,4.78,102600,0.0,0.0
1973-07-24,4.78,4.81,4.77,4.79,126600,0.0,0.0
1973-07-25,4.79,5.0,4.79,5.0,235200,0.0,0.0
1973-07-26,5.0,5.06,4.99,4.99,183600,0.0,0.0
1973-07-27,4.97,4.97,4.86,4.88,70500,0.0,0.0
1973-07-30,4.86,4.86,4.77,4.81,125700,0.0,0.0
1973-07-31,4.8,4.8,4.75,4.76,128400,0.0,0.0
1973-08-01,4.76,4.83,4.75,4.8,77400,0.0,0.0
1973-08-02,4.8,4.81,4.78,4.8,112500,0.0,0.0
1973-08-03,4.8,4.88,4.8,4.87,75300,0.0,0.0
1973-08-06,4.88,4.99,4.88,4.98,159000,0.0,0.0
1973-08-07,5.0,5.06,5.0,5.06,71700,0.0,0.0
1973-08-08,5.1,5.17,5.1,5.14,193500,0.0,0.0
1973-08-09,5.15,5.2,5.15,5.2,252300,0.0,0.0
1973-08-10,5.2,5.25,5.17,5.25,169800,0.0,0.0
1973-08-13,5.25,5.25,5.21,5.21,116100,0.0,0.0
1973-08-14,5.19,5.19,5.03,5.03,97500,0.0,0.0
1973-08-15,5.03,5.12,5.03,5.1,81600,0.0,0.0
1973-08-16,5.1,5.15,5.07,5.08,48600,0.0,0.0
