Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-09-25,14.75,14.75,14.75,14.75,1000,0.0,0
2002-09-26,14.75,15.03,14.75,15.03,111900,0.0,0
2002-09-27,14.89,14.93,14.7,14.75,37100,0.0,0
2002-09-30,14.66,15.8,14.48,15.8,903300,0.0,0
2002-10-01,15.76,16.17,15.37,15.37,662400,0.0,0
2002-10-02,15.37,15.37,14.06,14.38,592100,0.0,0
2002-10-03,14.25,15.01,14.25,14.75,650400,0.0,0
2002-10-04,14.66,14.75,14.25,14.37,380200,0.0,0
2002-10-07,14.43,14.66,13.74,13.74,594700,0.0,0
2002-10-08,13.19,13.19,12.62,12.86,416600,0.0,0
2002-10-09,12.92,13.06,12.78,12.83,291800,0.0,0
2002-10-10,12.78,12.83,12.12,12.36,739900,0.0,0
2002-10-11,12.45,12.72,12.32,12.46,487200,0.0,0
2002-10-14,12.28,13.17,12.28,12.98,166200,0.0,0
2002-10-15,12.94,13.72,12.94,13.7,318500,0.0,0
2002-10-16,13.61,13.7,12.94,12.96,274100,0.0,0
2002-10-17,12.96,13.27,12.95,13.18,1012300,0.0,0
2002-10-18,13.19,13.68,13.01,13.52,342600,0.0,0
2002-10-21,13.33,13.69,13.28,13.53,263500,0.0,0
2002-10-22,13.51,13.83,13.38,13.83,279900,0.0,0
2002-10-23,13.83,14.09,13.74,14.05,372600,0.0,0
2002-10-24,14.02,14.18,13.98,14.18,395500,0.0,0
2002-10-25,14.18,14.18,13.79,14.08,265100,0.0,0
2002-10-28,14.06,14.13,13.97,14.06,442600,0.0,0
2002-10-29,14.06,14.06,13.93,14.05,202200,0.0,0
2002-10-30,14.06,14.73,14.06,14.66,197100,0.0,0
2002-10-31,14.66,14.69,14.57,14.57,257100,0.0,0
2002-11-01,14.57,14.66,14.4,14.66,159800,0.0,0
2002-11-04,14.63,14.75,14.43,14.52,120800,0.0,0
2002-11-05,14.52,14.52,14.15,14.3,252700,0.0,0
2002-11-06,14.34,14.41,14.2,14.25,190700,0.0,0
2002-11-07,14.2,14.34,13.79,14.26,207000,0.0,0
2002-11-08,14.19,14.19,13.56,13.83,78600,0.0,0
2002-11-11,13.61,13.89,13.49,13.88,41500,0.0,0
2002-11-12,13.82,13.88,13.67,13.85,43400,0.0,0
