Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-06-12,0.0,0.89,0.77,0.83,28022400,0.0,0.0
1990-06-13,0.0,0.94,0.8,0.92,10702800,0.0,0.0
1990-06-14,0.0,0.97,0.89,0.95,5994000,0.0,0.0
1990-06-15,0.0,0.95,0.91,0.92,3896400,0.0,0.0
1990-06-18,0.94,0.94,0.88,0.89,2242800,0.0,0.0
1990-06-19,0.88,0.92,0.86,0.92,6829200,0.0,0.0
1990-06-20,0.92,0.92,0.89,0.91,931200,0.0,0.0
1990-06-21,0.89,0.91,0.88,0.91,842400,0.0,0.0
1990-06-22,0.91,0.91,0.88,0.9,1428000,0.0,0.0
1990-06-25,0.89,0.92,0.88,0.89,1849200,0.0,0.0
1990-06-26,0.91,0.92,0.88,0.88,1482000,0.0,0.0
1990-06-27,0.88,0.94,0.88,0.92,7206000,0.0,0.0
1990-06-28,0.92,0.92,0.89,0.91,2084400,0.0,0.0
1990-06-29,0.91,0.91,0.89,0.89,2312400,0.0,0.0
1990-07-02,0.89,0.91,0.88,0.89,596400,0.0,0.0
1990-07-03,0.89,0.89,0.86,0.89,1974000,0.0,0.0
1990-07-05,0.88,0.89,0.88,0.88,1177200,0.0,0.0
1990-07-06,0.89,0.89,0.86,0.89,396000,0.0,0.0
1990-07-09,0.91,0.91,0.88,0.88,534000,0.0,0.0
1990-07-10,0.88,0.95,0.88,0.92,3079200,0.0,0.0
1990-07-11,0.92,0.95,0.91,0.91,1683600,0.0,0.0
1990-07-12,0.94,0.94,0.89,0.91,4863600,0.0,0.0
1990-07-13,0.94,0.95,0.91,0.95,3573600,0.0,0.0
1990-07-16,0.97,0.98,0.91,0.95,4029600,0.0,0.0
1990-07-17,0.95,0.97,0.94,0.95,2526000,0.0,0.0
1990-07-18,0.97,1.01,0.95,0.98,3375600,0.0,0.0
1990-07-19,0.98,1.0,0.97,0.98,943200,0.0,0.0
1990-07-20,1.0,1.0,0.97,0.97,630000,0.0,0.0
1990-07-23,0.97,0.98,0.89,0.91,1952400,0.0,0.0
1990-07-24,0.92,0.94,0.86,0.89,1084800,0.0,0.0
1990-07-25,0.89,0.94,0.88,0.92,1543200,0.0,0.0
1990-07-26,0.94,0.94,0.91,0.91,447600,0.0,0.0
1990-07-27,0.91,0.92,0.91,0.91,122400,0.0,0.0
1990-07-30,0.89,0.91,0.82,0.88,1852800,0.0,0.0
1990-07-31,0.88,0.91,0.85,0.86,1010400,0.0,0.0
1990-08-01,0.88,0.88,0.85,0.88,411600,0.0,0.0
1990-08-02,0.85,0.86,0.79,0.82,1917600,0.0,0.0
1990-08-03,0.82,0.83,0.79,0.8,829200,0.0,0.0
1990-08-06,0.79,0.79,0.72,0.75,1581600,0.0,0.0
1990-08-07,0.79,0.8,0.76,0.79,1156800,0.0,0.0
1990-08-08,0.79,0.85,0.79,0.85,824400,0.0,0.0
1990-08-09,0.85,0.86,0.83,0.83,1260000,0.0,0.0
1990-08-10,0.85,0.85,0.8,0.83,532800,0.0,0.0
1990-08-13,0.79,0.8,0.77,0.8,454800,0.0,0.0
1990-08-14,0.8,0.82,0.79,0.81,829200,0.0,0.0
1990-08-15,0.83,0.85,0.83,0.85,282000,0.0,0.0
1990-08-16,0.83,0.83,0.77,0.77,682800,0.0,0.0
1990-08-17,0.77,0.8,0.73,0.8,1612800,0.0,0.0
1990-08-20,0.79,0.8,0.77,0.79,337200,0.0,0.0
1990-08-21,0.8,0.8,0.76,0.79,1185600,0.0,0.0
1990-08-22,0.82,0.83,0.77,0.79,1306800,0.0,0.0
1990-08-23,0.76,0.79,0.75,0.76,416400,0.0,0.0
1990-08-24,0.79,0.8,0.79,0.79,1162800,0.0,0.0
1990-08-27,0.82,0.86,0.8,0.86,1048800,0.0,0.0
1990-08-28,0.83,0.88,0.82,0.88,604800,0.0,0.0
1990-08-29,0.88,0.88,0.85,0.85,176400,0.0,0.0
1990-08-30,0.85,0.86,0.85,0.85,159600,0.0,0.0
1990-08-31,0.85,0.89,0.85,0.89,530400,0.0,0.0
1990-09-04,0.88,0.94,0.88,0.92,428400,0.0,0.0
1990-09-05,0.92,0.94,0.89,0.91,591600,0.0,0.0
1990-09-06,0.89,0.91,0.88,0.88,451200,0.0,0.0
1990-09-07,0.88,0.89,0.8,0.8,994800,0.0,0.0
1990-09-10,0.83,0.87,0.83,0.83,157200,0.0,0.0
1990-09-11,0.85,0.85,0.82,0.82,129600,0.0,0.0
1990-09-12,0.83,0.86,0.82,0.86,123600,0.0,0.0
1990-09-13,0.86,0.88,0.83,0.85,633600,0.0,0.0
1990-09-14,0.86,0.88,0.85,0.85,390000,0.0,0.0
1990-09-17,0.88,0.88,0.86,0.88,325200,0.0,0.0
1990-09-18,0.86,0.89,0.86,0.86,247200,0.0,0.0
1990-09-19,0.89,0.89,0.86,0.88,154800,0.0,0.0
1990-09-20,0.88,0.89,0.86,0.86,1401600,0.0,0.0
1990-09-21,0.86,0.88,0.85,0.86,417600,0.0,0.0
1990-09-24,0.88,0.88,0.76,0.79,675600,0.0,0.0
1990-09-25,0.8,0.82,0.77,0.82,188400,0.0,0.0
1990-09-26,0.79,0.8,0.79,0.79,308400,0.0,0.0
