Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,3.75,3.8,3.75,3.76,169800.0,0.0,0.0
1977-01-04,3.76,3.78,3.71,3.71,143200.0,0.0,0.0
1977-01-05,3.71,3.77,3.67,3.69,191000.0,0.0,0.0
1977-01-06,3.69,3.73,3.66,3.68,168700.0,0.0,0.0
1977-01-07,3.68,3.7,3.6,3.67,143200.0,0.0,0.0
1977-01-10,3.67,3.71,3.63,3.67,198000.0,0.0,0.0
1977-01-11,3.67,3.74,3.62,3.62,145700.0,0.0,0.0
1977-01-12,3.62,3.64,3.58,3.61,158900.0,0.0,0.0
1977-01-13,3.61,3.66,3.61,3.66,153200.0,0.0,0.0
1977-01-14,3.66,3.67,3.62,3.63,173900.0,0.0,0.0
1977-01-17,3.63,3.67,3.59,3.61,152500.0,0.0,0.0
1977-01-18,3.61,3.66,3.58,3.59,367500.0,0.0,0.0
1977-01-19,3.59,3.63,3.55,3.63,179400.0,0.0,0.0
1977-01-20,3.63,3.63,3.49,3.57,255900.0,0.0,0.0
1977-01-21,3.57,3.61,3.54,3.61,225400.0,0.0,0.0
1977-01-24,3.59,3.59,3.54,3.55,259100.0,0.0,0.0
1977-01-25,3.55,3.59,3.5,3.54,176900.0,0.0,0.0
1977-01-26,3.54,3.54,3.5,3.51,156600.0,0.0,0.0
1977-01-27,3.48,3.48,3.36,3.4,322400.0,0.0,0.0
1977-01-28,3.4,3.44,3.38,3.43,294400.0,0.0,0.0
1977-01-31,3.43,3.5,3.41,3.49,239000.0,0.0,0.0
1977-02-01,3.49,3.5,3.43,3.43,245200.0,0.0,0.0
1977-02-02,3.43,3.51,3.35,3.36,304800.0,0.0,0.0
1977-02-03,3.36,3.41,3.33,3.41,200800.0,0.0,0.0
1977-02-04,3.41,3.44,3.38,3.41,235200.0,0.0,0.0
1977-02-07,3.41,3.46,3.39,3.41,144300.0,0.0,0.0
1977-02-08,3.41,3.42,3.33,3.35,593100.0,0.0,0.0
1977-02-09,3.35,3.37,3.3,3.37,352200.0,0.0,0.0
1977-02-10,3.37,3.38,3.32,3.36,219700.0,0.0,0.0
1977-02-11,3.36,3.37,3.33,3.35,182100.0,0.0,0.0
1977-02-14,3.35,3.39,3.31,3.39,218100.0,0.0,0.0
1977-02-15,3.39,3.4,3.37,3.38,219700.0,0.0,0.0
1977-02-16,3.38,3.42,3.37,3.39,157300.0,0.0,0.0
1977-02-17,3.39,3.39,3.34,3.36,139500.0,0.0,0.0
1977-02-18,3.36,3.36,3.31,3.34,112900.0,0.0,0.0
1977-02-22,3.34,3.37,3.33,3.35,137700.0,0.0,0.0
1977-02-23,3.35,3.35,3.27,3.29,218300.0,0.0,0.0
1977-02-24,3.29,3.29,3.21,3.22,373600.0,0.0,0.0
1977-02-25,3.22,3.29,3.21,3.26,266400.0,0.0,0.0
1977-02-28,3.28,3.29,3.22,3.27,280700.0,0.13175,0.0
1977-03-01,3.27,3.34,3.27,3.31,309200.0,0.0,0.0
1977-03-02,3.31,3.32,3.25,3.27,180100.0,0.0,0.0
1977-03-03,3.27,3.3,3.27,3.3,176000.0,0.0,0.0
1977-03-04,3.3,3.36,3.29,3.34,113300.0,0.0,0.0
1977-03-07,3.34,3.37,3.33,3.36,116300.0,0.0,0.0
1977-03-08,3.36,3.38,3.31,3.31,122200.0,0.0,0.0
1977-03-09,3.31,3.31,3.23,3.23,296600.0,0.0,0.0
1977-03-10,3.23,3.29,3.22,3.28,234000.0,0.0,0.0
1977-03-11,3.27,3.27,3.23,3.25,245000.0,0.0,0.0
1977-03-14,3.25,3.27,3.17,3.27,156800.0,0.0,0.0
1977-03-15,3.27,3.27,3.23,3.25,281400.0,0.0,0.0
1977-03-16,3.25,3.27,3.24,3.25,599900.0,0.0,0.0
1977-03-17,3.24,3.24,3.22,3.24,194000.0,0.0,0.0
1977-03-18,3.24,3.24,3.17,3.18,536900.0,0.0,0.0
1977-03-21,3.18,3.19,3.11,3.14,288900.0,0.0,0.0
1977-03-22,3.14,3.16,3.12,3.16,199200.0,0.0,0.0
1977-03-23,3.16,3.17,3.11,3.11,187800.0,0.0,0.0
