Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-09-17,3.39,3.57,3.39,3.44,29185400,0.0,0.0
1997-09-18,3.48,3.55,3.45,3.55,6731800,0.0,0.0
1997-09-19,3.55,3.66,3.55,3.57,3440200,0.0,0.0
1997-09-22,3.54,3.58,3.53,3.54,5831000,0.0,0.0
1997-09-23,3.54,3.55,3.53,3.54,2738600,0.0,0.0
1997-09-24,3.55,3.55,3.53,3.54,2575500,0.0,0.0
1997-09-25,3.54,3.59,3.54,3.59,1005900,0.0,0.0
1997-09-26,3.58,3.69,3.58,3.68,1636300,0.0,0.0
1997-09-29,3.69,3.73,3.69,3.73,1708100,0.0,0.0
1997-09-30,3.77,3.94,3.76,3.82,4639200,0.0,0.0
1997-10-01,3.83,3.83,3.66,3.66,3525900,0.0,0.0
1997-10-02,3.67,3.68,3.6,3.64,1870600,0.0,0.0
1997-10-03,3.68,3.72,3.66,3.69,2065300,0.0,0.0
1997-10-06,3.68,3.81,3.68,3.78,7842400,0.0,0.0
1997-10-07,3.81,3.86,3.61,3.67,21602200,0.0,0.0
1997-10-08,3.67,3.69,3.6,3.62,16664700,0.0,0.0
1997-10-09,3.61,3.78,3.55,3.77,12844400,0.0,0.0
1997-10-10,3.64,3.77,3.63,3.72,10308900,0.0,0.0
1997-10-13,3.73,3.78,3.72,3.78,10520900,0.0,0.0
1997-10-14,3.75,3.83,3.75,3.76,17077000,0.0,0.0
1997-10-15,3.67,3.75,3.67,3.75,9048700,0.0,0.0
1997-10-16,3.78,3.79,3.72,3.75,9002500,0.0,0.0
1997-10-17,3.69,3.7,3.58,3.68,6431400,0.0,0.0
1997-10-20,3.66,3.83,3.66,3.81,7995400,0.0,0.0
1997-10-21,3.78,4.03,3.78,3.96,9219500,0.0,0.0
1997-10-22,3.89,3.94,3.85,3.89,5610700,0.0,0.0
1997-10-23,3.83,3.9,3.81,3.89,7688800,0.0,0.0
1997-10-24,3.9,3.92,3.83,3.89,5598400,0.0,0.0
1997-10-27,3.83,3.84,3.61,3.67,6699000,0.0,0.0
1997-10-28,3.55,3.73,3.44,3.65,4660400,0.0,0.0
1997-10-29,3.66,3.72,3.56,3.58,3286000,0.0,0.0
1997-10-30,3.44,3.56,3.44,3.48,4901800,0.0,0.0
1997-10-31,3.48,3.6,3.47,3.58,5334200,0.0,0.0
1997-11-03,3.6,3.63,3.55,3.6,5457100,0.0,0.0
1997-11-04,3.57,3.61,3.52,3.55,5849900,0.0,0.0
1997-11-05,3.54,3.6,3.52,3.56,6204900,0.0,0.0
1997-11-06,3.57,3.78,3.55,3.73,6185400,0.0,0.0
1997-11-07,3.72,3.83,3.66,3.78,6055800,0.0,0.0
1997-11-10,3.81,4.06,3.79,3.99,5481600,0.0,0.0
1997-11-11,3.86,3.97,3.86,3.95,4125100,0.0,0.0
1997-11-12,3.92,3.95,3.87,3.87,4147400,0.0,0.0
1997-11-13,3.89,3.97,3.89,3.95,6960000,0.0,0.0
1997-11-14,4.04,4.25,4.03,4.16,11075600,0.0,0.0
1997-11-17,4.19,4.28,4.16,4.17,5030400,0.0,0.0
1997-11-18,4.14,4.17,3.97,3.99,5827100,0.0,0.0
1997-11-19,3.97,4.04,3.94,4.01,6024100,0.0,0.0
1997-11-20,4.01,4.05,4.0,4.03,6341200,0.0,0.0
1997-11-21,4.02,4.09,4.01,4.07,3088000,0.0,0.0
1997-11-24,4.01,4.07,3.95,3.95,3880800,0.0,0.0
1997-11-25,3.96,3.97,3.83,3.86,3297700,0.0,0.0
1997-11-26,3.83,3.94,3.83,3.92,2655100,0.0,0.0
1997-11-28,3.91,4.01,3.91,3.99,1168900,0.0,0.0
1997-12-01,4.06,4.06,3.99,4.01,3024000,0.0,0.0
1997-12-02,4.04,4.04,3.97,4.02,4351600,0.0,0.0
1997-12-03,4.01,4.1,4.01,4.09,2006900,0.0,0.0
1997-12-04,4.13,4.18,4.09,4.11,4566300,0.0,0.0
1997-12-05,4.11,4.11,4.07,4.09,3969900,0.0,0.0
1997-12-08,4.06,4.12,4.04,4.07,2142600,0.0,0.0
1997-12-09,4.03,4.07,4.02,4.03,1943500,0.0,0.0
1997-12-10,4.01,4.01,3.74,3.81,8938500,0.0,0.0
1997-12-11,3.73,3.75,3.64,3.67,6056900,0.0,0.0
1997-12-12,3.68,3.69,3.57,3.58,4678200,0.0,0.0
1997-12-15,3.55,3.63,3.55,3.56,9977300,0.0,0.0
1997-12-16,3.54,3.65,3.54,3.63,10624400,0.0,0.0
1997-12-17,3.64,3.69,3.56,3.58,6991100,0.0,0.0
1997-12-18,3.55,3.56,3.49,3.52,2701800,0.0,0.0
1997-12-19,3.51,3.54,3.5,3.52,2821500,0.0,0.0
1997-12-22,3.54,3.55,3.47,3.52,2253900,0.0,0.0
1997-12-23,3.49,3.5,3.34,3.35,4369900,0.0,0.0
1997-12-24,3.32,3.4,3.29,3.39,2143800,0.0,0.0
1997-12-26,3.38,3.38,3.34,3.34,1234600,0.0,0.0
1997-12-29,3.31,3.42,3.3,3.35,2182200,0.0,0.0
1997-12-30,3.35,3.49,3.34,3.46,2689600,0.0,0.0
1997-12-31,3.43,3.44,3.39,3.43,4221900,0.0,0.0
1998-01-02,3.43,3.46,3.35,3.44,2959400,0.0,0.0
1998-01-05,3.44,3.45,3.29,3.33,6857600,0.0,0.0
1998-01-06,3.29,3.29,3.18,3.19,8561800,0.0,0.0
1998-01-07,3.17,3.27,3.14,3.19,6014100,0.0,0.0
1998-01-08,3.13,3.16,3.04,3.06,5433200,0.0,0.0
1998-01-09,3.05,3.18,3.04,3.07,9729700,0.0,0.0
1998-01-12,2.96,3.12,2.96,3.08,5332500,0.0,0.0
1998-01-13,3.05,3.11,3.04,3.08,4983100,0.0,0.0
1998-01-14,3.09,3.16,3.02,3.08,3789000,0.0,0.0
1998-01-15,3.07,3.17,3.04,3.16,8781100,0.0,0.0
1998-01-16,3.14,3.19,3.13,3.18,3096300,0.0,0.0
1998-01-20,3.17,3.27,3.16,3.27,3917600,0.0,0.0
1998-01-21,3.24,3.24,3.21,3.23,2364100,0.0,0.0
1998-01-22,3.23,3.24,3.19,3.2,2860400,0.0,0.0
1998-01-23,3.19,3.2,3.13,3.16,3316700,0.0,0.0
1998-01-26,3.13,3.18,3.11,3.14,2470900,0.0,0.0
1998-01-27,3.1,3.14,3.07,3.13,4726600,0.0,0.0
1998-01-28,3.13,3.23,3.11,3.23,5433800,0.0,0.0
1998-01-29,3.2,3.31,3.19,3.24,4290400,0.0,0.0
1998-01-30,3.22,3.23,3.18,3.22,8328700,0.0,0.0
1998-02-02,3.25,3.36,3.25,3.29,5422100,0.0,0.0
1998-02-03,3.26,3.27,3.24,3.26,4089500,0.0,0.0
1998-02-04,3.24,3.36,3.23,3.35,5250700,0.0,0.0
1998-02-05,3.31,3.35,3.29,3.3,3081800,0.0,0.0
1998-02-06,3.27,3.39,3.27,3.38,2731300,0.0,0.0
1998-02-09,3.33,3.36,3.28,3.33,2132100,0.0,0.0
1998-02-10,3.32,3.38,3.27,3.36,1987400,0.0,0.0
1998-02-11,3.33,3.34,3.27,3.33,2884300,0.0,0.0
1998-02-12,3.32,3.35,3.22,3.24,6395200,0.0,0.0
1998-02-13,3.24,3.42,3.19,3.22,8251900,0.0,0.0
1998-02-17,3.07,3.15,3.07,3.15,6316800,0.0,0.0
1998-02-18,3.11,3.13,3.07,3.08,7292100,0.0,0.0
1998-02-19,3.08,3.26,3.07,3.19,6105300,0.0,0.0
1998-02-20,3.22,3.22,3.13,3.16,2455300,0.0,0.0
