Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-25,27.5,28.85,27.5,27.74,2439400,0.0,0
2001-07-26,26.94,26.94,26.1,26.19,2675400,0.0,0
2001-07-27,26.28,27.04,26.28,26.47,1398200,0.0,0
2001-07-30,26.47,26.61,26.47,26.53,766900,0.0,0
2001-07-31,26.53,26.7,26.5,26.66,974600,0.0,0
2001-08-01,27.03,27.82,27.03,27.5,1863700,0.0,0
2001-08-02,27.48,27.68,26.56,26.7,785000,0.0,0
2001-08-03,26.47,26.52,26.01,26.1,1204500,0.0,0
2001-08-06,26.1,26.28,25.45,25.87,1565500,0.0,0
2001-08-07,26.56,28.43,26.28,27.91,7815800,0.0,0
2001-08-08,27.68,27.73,26.15,26.74,5274500,0.0,0
2001-08-09,26.19,26.52,25.68,26.43,2996900,0.0,0
2001-08-10,26.1,26.42,25.57,26.1,3193700,0.0,0
2001-08-13,25.87,25.96,25.03,25.45,4809800,0.0,0
2001-08-14,25.45,26.19,25.35,25.82,3667700,0.0,0
2001-08-15,25.87,26.47,25.82,26.17,2622100,0.0,0
2001-08-16,26.13,26.19,25.45,26.19,2132100,0.0,0
2001-08-17,25.82,26.1,24.73,26.1,1747200,0.0,0
2001-08-20,25.77,25.84,24.98,25.35,2066600,0.0,0
2001-08-21,25.35,25.58,25.26,25.48,1870500,0.0,0
2001-08-22,25.26,25.41,24.61,25.41,2549800,0.0,0
2001-08-23,25.31,25.34,24.91,24.93,2343000,0.0,0
2001-08-24,24.47,24.91,24.28,24.88,1909700,0.0,0
2001-08-27,24.79,24.98,24.51,24.85,1461800,0.0,0
2001-08-28,24.33,24.51,24.1,24.25,2378300,0.0,0
2001-08-29,24.25,24.93,24.19,24.61,2020500,0.0,0
2001-08-30,24.61,25.45,24.61,25.12,2443000,0.0,0
2001-08-31,24.98,25.35,24.7,25.35,1447500,0.0,0
2001-09-04,25.26,26.1,25.25,25.89,1697200,0.0,0
2001-09-05,25.77,25.94,25.31,25.77,1655000,0.0,0
2001-09-06,25.68,25.73,25.17,25.39,2030900,0.0,0
2001-09-07,24.7,25.98,24.61,24.85,1748200,0.0,0
2001-09-10,24.7,25.01,24.51,24.64,1020100,0.0,0
2001-09-17,23.4,24.27,23.1,23.54,1665200,0.0,0
2001-09-18,23.54,23.64,23.02,23.4,1687700,0.0,0
2001-09-19,23.12,24.35,23.12,23.32,1494700,0.0,0
2001-09-20,23.3,24.69,23.17,24.0,1993600,0.0,0
2001-09-21,23.3,25.03,23.26,24.09,1945900,0.0,0
2001-09-24,24.05,25.21,24.05,24.89,1803600,0.0,0
2001-09-25,24.89,25.16,24.23,24.51,1586600,0.0,0
2001-09-26,24.47,25.16,24.47,24.98,1020600,0.0,0
2001-09-27,24.79,25.73,24.79,25.17,1637300,0.0,0
2001-09-28,25.17,26.1,25.12,25.87,1019000,0.0,0
2001-10-01,25.87,26.71,25.63,26.2,1090300,0.0,0
2001-10-02,26.24,26.8,26.21,26.61,1174400,0.0,0
2001-10-03,26.61,26.94,26.42,26.84,814200,0.0,0
2001-10-04,26.84,27.03,26.39,26.9,1239600,0.0,0
2001-10-05,26.75,27.22,26.61,27.08,1076400,0.0,0
2001-10-08,26.94,26.97,26.56,26.77,398600,0.0,0
2001-10-09,26.56,26.79,26.56,26.76,797100,0.0,0
2001-10-10,26.7,27.31,26.67,27.04,717100,0.0,0
2001-10-11,27.04,27.73,27.04,27.42,1052100,0.0,0
2001-10-12,26.94,27.79,26.94,27.79,1221500,0.0,0
2001-10-15,27.72,28.01,27.56,27.75,720900,0.0,0
2001-10-16,27.68,27.94,27.23,27.92,1052000,0.0,0
2001-10-17,27.94,28.0,27.73,27.93,1675400,0.0,0
2001-10-18,26.56,27.08,26.56,26.86,1677900,0.0,0
2001-10-19,26.89,27.45,26.89,27.38,590600,0.0,0
2001-10-22,27.4,27.76,27.29,27.73,462100,0.0,0
2001-10-23,27.73,27.96,27.73,27.77,1017600,0.0,0
2001-10-24,27.82,28.06,27.66,27.92,529000,0.0,0
2001-10-25,27.82,28.17,27.4,27.58,703800,0.0,0
2001-10-26,27.54,27.55,26.8,27.04,893500,0.0,0
2001-10-29,27.03,27.36,26.05,27.22,1239000,0.0,0
2001-10-30,27.68,28.43,27.45,28.06,3428500,0.0,0
2001-10-31,28.85,29.03,28.52,28.81,1543100,0.0,0
2001-11-01,29.36,29.36,28.81,29.28,821900,0.0,0
2001-11-02,29.22,30.53,29.17,29.55,947600,0.0,0
2001-11-05,29.65,29.69,28.81,28.91,1002100,0.0,0
2001-11-06,28.94,29.81,27.98,29.63,1155300,0.0,0
2001-11-07,28.52,30.01,28.48,29.61,1428500,0.0,0
2001-11-08,29.71,29.71,28.52,28.52,861200,0.0,0
2001-11-09,28.24,28.62,27.87,27.97,1209100,0.0,0
2001-11-12,28.01,28.05,27.69,27.94,663600,0.0,0
2001-11-13,27.96,28.48,27.96,28.2,772400,0.0,0
2001-11-14,28.2,28.89,28.15,28.8,931800,0.0,0
2001-11-15,28.89,28.93,27.93,27.98,995800,0.0,0
2001-11-16,28.1,28.28,27.96,28.04,814500,0.0,0
2001-11-19,28.15,28.24,26.8,27.92,1354600,0.0,0
2001-11-20,28.01,28.26,27.97,28.19,549200,0.0,0
2001-11-21,28.38,28.99,28.34,28.52,582700,0.0,0
2001-11-23,28.52,28.99,28.52,28.71,233400,0.0,0
2001-11-26,28.89,31.04,28.89,30.53,1135900,0.0,0
2001-11-27,30.52,30.85,29.5,30.36,801600,0.0,0
2001-11-28,30.29,30.7,30.25,30.34,602300,0.0,0
2001-11-29,29.92,30.58,29.85,30.39,428100,0.0,0
2001-11-30,30.06,30.23,29.97,30.07,391800,0.0,0
2001-12-03,30.09,30.22,29.82,30.01,702900,0.0,0
2001-12-04,29.78,30.39,29.31,30.39,564600,0.0,0
2001-12-05,30.29,30.62,28.89,30.46,1190600,0.0,0
2001-12-06,30.48,30.76,30.03,30.62,525200,0.0,0
2001-12-07,30.25,30.26,29.0,29.27,1158400,0.0,0
2001-12-10,29.13,29.41,29.03,29.2,371500,0.0,0
2001-12-11,28.74,28.75,28.15,28.28,792800,0.0,0
2001-12-12,28.24,28.36,27.44,27.91,1026400,0.0,0
2001-12-13,27.87,28.76,27.74,28.52,887800,0.0,0
2001-12-14,28.34,29.36,28.25,28.81,869500,0.0,0
2001-12-17,28.52,28.57,27.97,28.2,607700,0.0,0
2001-12-18,28.01,28.66,27.96,28.24,741900,0.0,0
2001-12-19,28.24,28.89,28.22,28.49,828000,0.0,0
2001-12-20,28.38,28.48,27.78,27.99,646600,0.0,0
2001-12-21,27.98,28.29,27.87,28.27,831300,0.0,0
2001-12-24,28.06,28.15,27.73,27.78,392100,0.0,0
2001-12-26,27.59,28.2,27.4,27.8,456900,0.0,0
2001-12-27,27.96,27.96,27.56,27.83,712100,0.0,0
2001-12-28,27.6,28.08,27.54,27.73,618800,0.0,0
2001-12-31,27.59,28.66,27.59,28.47,916300,0.0,0
2002-01-02,28.23,28.34,27.94,28.18,795000,0.0,0
2002-01-03,28.06,28.17,27.78,28.0,1027200,0.0,0
2002-01-04,27.98,28.06,27.5,27.54,786600,0.0,0
2002-01-07,27.5,27.68,27.33,27.54,674800,0.0,0
2002-01-08,27.5,28.47,27.46,28.43,872000,0.0,0
2002-01-09,28.38,29.42,28.27,28.62,774900,0.0,0
2002-01-10,28.62,28.66,28.2,28.48,384600,0.0,0
2002-01-11,28.62,28.62,27.82,27.9,427500,0.0,0
2002-01-14,27.78,29.83,27.78,29.65,596800,0.0,0
2002-01-15,29.5,29.53,28.49,29.13,465100,0.0,0
2002-01-16,28.99,29.41,28.9,29.19,402800,0.0,0
2002-01-17,28.99,29.64,28.71,29.64,610100,0.0,0
2002-01-18,29.34,29.71,28.99,29.09,400400,0.0,0
2002-01-22,28.89,29.5,28.29,28.94,406700,0.0,0
