Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.56,0.53,0.53,72000,0.0,0.0
1980-03-18,0.0,0.55,0.53,0.53,8000,0.0,0.0
1980-03-19,0.53,0.53,0.53,0.53,0,0.0,0.0
1980-03-20,0.0,0.55,0.53,0.53,800,0.0,0.0
1980-03-21,0.0,0.54,0.52,0.52,38400,0.0,0.0
1980-03-24,0.0,0.52,0.5,0.5,93600,0.0,0.0
1980-03-25,0.0,0.51,0.48,0.48,8000,0.0,0.0
1980-03-26,0.0,0.51,0.48,0.48,110400,0.0,0.0
1980-03-27,0.0,0.49,0.47,0.47,62400,0.0,0.0
1980-03-28,0.0,0.5,0.48,0.48,33600,0.0,0.0
1980-03-31,0.0,0.5,0.48,0.48,2400,0.0,0.0
1980-04-01,0.0,0.51,0.49,0.49,15200,0.0,0.0
1980-04-02,0.0,0.55,0.53,0.53,195200,0.0,0.0
1980-04-03,0.0,0.56,0.53,0.53,52800,0.0,0.0
1980-04-07,0.0,0.54,0.51,0.51,24800,0.0,0.0
1980-04-08,0.0,0.53,0.51,0.51,55200,0.0,0.0
1980-04-09,0.0,0.53,0.51,0.51,8000,0.0,0.0
1980-04-10,0.0,0.54,0.51,0.51,4800,0.0,0.0
1980-04-11,0.0,0.54,0.51,0.51,3200,0.0,0.0
1980-04-14,0.0,0.53,0.51,0.51,800,0.0,0.0
1980-04-15,0.0,0.54,0.51,0.51,20000,0.0,0.0
1980-04-16,0.0,0.57,0.54,0.54,113600,0.0,0.0
1980-04-17,0.0,0.57,0.54,0.54,34400,0.0,0.0
1980-04-18,0.0,0.57,0.55,0.55,19200,0.0,0.0
1980-04-21,0.0,0.58,0.56,0.56,19200,0.0,0.0
1980-04-22,0.0,0.58,0.56,0.56,12000,0.0,0.0
1980-04-23,0.0,0.6,0.57,0.57,60000,0.0,0.0
1980-04-24,0.0,0.62,0.59,0.59,64800,0.0,0.0
1980-04-25,0.0,0.61,0.59,0.59,80000,0.0,0.0
1980-04-28,0.0,0.62,0.59,0.59,8000,0.0,0.0
1980-04-29,0.0,0.62,0.59,0.59,17600,0.0,0.0
1980-04-30,0.0,0.62,0.59,0.59,21600,0.0,0.0
1980-05-01,0.0,0.62,0.59,0.59,800,0.0,0.0
1980-05-02,0.0,0.62,0.59,0.59,2400,0.0,0.0
1980-05-05,0.0,0.62,0.59,0.59,5600,0.0,0.0
1980-05-06,0.0,0.62,0.6,0.6,36000,0.0,0.0
1980-05-07,0.0,0.63,0.61,0.61,56000,0.0,0.0
1980-05-08,0.0,0.62,0.6,0.6,7200,0.0,0.0
1980-05-09,0.0,0.62,0.6,0.6,24800,0.0,0.0
1980-05-12,0.0,0.61,0.59,0.59,27200,0.0,0.0
1980-05-13,0.0,0.61,0.58,0.58,75200,0.0,0.0
1980-05-14,0.0,0.61,0.58,0.58,4800,0.0,0.0
1980-05-15,0.0,0.61,0.58,0.58,7200,0.0,0.0
1980-05-16,0.0,0.61,0.58,0.58,24000,0.0,0.0
1980-05-19,0.0,0.61,0.58,0.58,10400,0.0,0.0
1980-05-20,0.0,0.6,0.57,0.57,15200,0.0,0.0
1980-05-21,0.0,0.57,0.55,0.55,63200,0.0,0.0
1980-05-22,0.0,0.58,0.56,0.56,16800,0.0,0.0
1980-05-23,0.0,0.59,0.57,0.57,45600,0.0,0.0
1980-05-27,0.57,0.57,0.57,0.57,0,0.0,0.0
1980-05-28,0.0,0.59,0.57,0.57,3200,0.0,0.0
1980-05-29,0.0,0.59,0.56,0.56,12800,0.0,0.0
1980-05-30,0.0,0.58,0.56,0.56,60000,0.0,0.0
1980-06-02,0.0,0.58,0.56,0.56,12000,0.0,0.0
1980-06-03,0.0,0.58,0.56,0.56,14400,0.0,0.0
1980-06-04,0.0,0.58,0.56,0.56,27200,0.0,0.0
1980-06-05,0.0,0.58,0.56,0.56,3200,0.0,0.0
1980-06-06,0.0,0.58,0.56,0.56,15200,0.0,0.0
1980-06-09,0.0,0.58,0.56,0.56,41600,0.0,0.0
1980-06-10,0.0,0.59,0.57,0.57,34400,0.0,0.0
1980-06-11,0.0,0.6,0.57,0.57,24800,0.0,0.0
1980-06-12,0.0,0.6,0.57,0.57,146400,0.0,0.0
